Gene symbol,ProbeSet,Disease state,Disease state mean difference,Disease state lwr,Disease state upr,Disease state p-adj,Gene title
IGF2BP3,203819_s_at,AML-Healthy,0.090625827,-0.138079851,-0.043171803,0.000184327,insulin-like growth factor 2 mRNA binding protein 3
WIPI1,203827_at,AML-Healthy,-0.147012879,0.106092133,0.187933625,0,"WD repeat domain, phosphoinositide interacting 1"
PALM,203859_s_at,AML-Healthy,0.062911418,-0.086659592,-0.039163244,2.20E-07,paralemmin
VCAM1,203868_s_at,AML-Healthy,-0.202266712,0.13984953,0.264683895,0,vascular cell adhesion molecule 1
USP46,203869_at,AML-Healthy,0.096653637,-0.139909355,-0.053397919,1.22E-05,ubiquitin specific peptidase 46
NR1H3,203920_at,AML-Healthy,0.089410816,-0.124022134,-0.054799499,4.34E-07,"nuclear receptor subfamily 1, group H, member 3"
CYBB,203922_s_at,AML-Healthy,-0.150114024,0.097194995,0.203033053,2.83E-08,"cytochrome b-245, beta polypeptide"
GCLM,203925_at,AML-Healthy,-0.116324145,0.081241666,0.151406624,0,"glutamate-cysteine ligase, modifier subunit"
NFKBIE,203927_at,AML-Healthy,0.082451161,-0.110424487,-0.054477834,7.39E-09,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"
MMP9,203936_s_at,AML-Healthy,-0.262947064,0.209485267,0.316408862,0,matrix metallopeptidase 9
PPP1R26,203955_at,AML-Healthy,0.062176999,-0.089349615,-0.035004382,7.53E-06,"protein phosphatase 1, regulatory subunit 26"
CDC6,203967_at,AML-Healthy,-0.126724782,0.084697364,0.168752199,2.84E-09,cell division cycle 6
FAM47E-STBD1 ,203986_at,AML-Healthy,-0.137216178,0.106135333,0.168297023,0,FAM47E-STBD1 readthrough 
FZD6,203987_at,AML-Healthy,-0.125170024,0.061846546,0.188493502,0.000108719,frizzled class receptor 6
FCGR3A ,204006_s_at,AML-Healthy,-0.150572256,0.084836344,0.216308168,7.37E-06,"Fc fragment of IgG, low affinity IIIa, receptor (CD16a) "
FCGR3B,204007_at,AML-Healthy,-0.183957031,0.12223851,0.245675552,4.73E-09,"Fc fragment of IgG, low affinity IIIb, receptor (CD16b)"
IQCJ-SCHIP1 ,204030_s_at,AML-Healthy,0.101084181,-0.166106636,-0.036061726,0.002323323,IQCJ-SCHIP1 readthrough 
PRKX,204061_at,AML-Healthy,0.079299787,-0.108163325,-0.05043625,7.67E-08,"protein kinase, X-linked"
MEIS1,204069_at,AML-Healthy,0.124534345,-0.196652532,-0.052416158,0.000719271,Meis homeobox 1
AURKA,204092_s_at,AML-Healthy,-0.13807308,0.099152335,0.176993826,0,aurora kinase A
GNG11,204115_at,AML-Healthy,-0.193007028,0.136699752,0.249314304,0,"guanine nucleotide binding protein (G protein), gamma 11"
RAD51AP1,204146_at,AML-Healthy,-0.110998038,0.069551225,0.152444852,1.62E-07,RAD51 associated protein 1
STAB1,204150_at,AML-Healthy,0.089544696,-0.134945953,-0.044143438,0.000112598,stabilin 1
NDC80,204162_at,AML-Healthy,-0.141174086,0.100087219,0.182260953,0,NDC80 kinetochore complex component
CPOX,204172_at,AML-Healthy,-0.160478149,0.115496027,0.20546027,0,coproporphyrinogen oxidase
ALOX5AP,204174_at,AML-Healthy,-0.140515951,0.098250865,0.182781037,0,arachidonate 5-lipoxygenase-activating protein
ZBTB43,204182_s_at,AML-Healthy,0.065344492,-0.107382279,-0.023306704,0.002326066,zinc finger and BTB domain containing 43
RTN2,204217_s_at,AML-Healthy,0.063062,-0.08704004,-0.039083959,2.68E-07,reticulon 2
MMP7,204259_at,AML-Healthy,0.063432215,-0.089002958,-0.037861472,1.21E-06,matrix metallopeptidase 7
PMAIP1,204285_s_at,AML-Healthy,0.093301436,-0.12669839,-0.059904481,4.60E-08,phorbol-12-myristate-13-acetate-induced protein 1
AK4,204347_at,AML-Healthy,0.09142119,-0.13059569,-0.052246691,4.95E-06,adenylate kinase 4
S100P,204351_at,AML-Healthy,-0.230040271,0.165200306,0.294880235,0,S100 calcium binding protein P
GRK5,204396_s_at,AML-Healthy,-0.116988031,0.071848765,0.162127297,3.98E-07,G protein-coupled receptor kinase 5
EIF1AY,204409_s_at,AML-Healthy,-0.23151692,0.171145101,0.29188874,0,"eukaryotic translation initiation factor 1A, Y-linked"
FOSL1,204420_at,AML-Healthy,0.073007333,-0.109468285,-0.03654638,8.84E-05,FOS-like antigen 1
SOX12,204432_at,AML-Healthy,0.06621917,-0.095271368,-0.037166971,8.16E-06,SRY box 12
KIF11,204444_at,AML-Healthy,-0.177970873,0.126677808,0.229263938,0,kinesin family member 11
TIE1,204468_s_at,AML-Healthy,0.126185411,-0.174833528,-0.077537294,3.89E-07,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
CXCL1,204470_at,AML-Healthy,-0.193259926,0.14037432,0.246145532,0,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
CD44,204489_s_at,AML-Healthy,0.068432359,-0.089550567,-0.047314151,0,CD44 molecule (Indian blood group)
CDC7,204510_at,AML-Healthy,-0.113463576,0.076450127,0.150477026,1.14E-09,cell division cycle 7
STAR,204548_at,AML-Healthy,0.07742016,-0.126599887,-0.028240432,0.002043553,steroidogenic acute regulatory protein
PPP1R3D,204554_at,AML-Healthy,-0.122305982,0.085129587,0.159482378,0,"protein phosphatase 1, regulatory subunit 3D"
APOC2 ,204561_x_at,AML-Healthy,0.144596813,-0.18536274,-0.103830885,0,apolipoprotein C-II 
L1CAM,204584_at,AML-Healthy,0.070694806,-0.097539139,-0.043850472,2.58E-07,L1 cell adhesion molecule
VCAN,204619_s_at,AML-Healthy,-0.146513753,0.057120638,0.235906867,0.001325309,versican
TFF3,204623_at,AML-Healthy,-0.164248981,0.138037502,0.19046046,0,trefoil factor 3
COL17A1,204636_at,AML-Healthy,-0.157884497,0.12438863,0.191380364,0,"collagen, type XVII, alpha 1"
ADA,204639_at,AML-Healthy,0.064662004,-0.094353196,-0.034970812,2.02E-05,adenosine deaminase
NEK2,204641_at,AML-Healthy,-0.155438408,0.110351091,0.200525725,0,NIMA-related kinase 2
HOMER3,204647_at,AML-Healthy,0.087834384,-0.12977198,-0.045896789,4.13E-05,homer scaffolding protein 3
KIF23,204709_s_at,AML-Healthy,-0.156668,0.108686984,0.204649017,0,kinesin family member 23
DNAJC6,204720_s_at,AML-Healthy,-0.145484176,0.086113868,0.204854484,1.63E-06,"DnaJ (Hsp40) homolog, subfamily C, member 6"
TGFBR3,204731_at,AML-Healthy,-0.155102867,0.107523239,0.202682496,0,transforming growth factor beta receptor III
PTGS2,204748_at,AML-Healthy,-0.124455458,0.058463546,0.19044737,0.000221611,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
MAL,204777_s_at,AML-Healthy,-0.155637241,0.108859652,0.202414831,0,"mal, T-cell differentiation protein"
MLF1,204784_s_at,AML-Healthy,0.078927367,-0.133007428,-0.024847306,0.004245228,myeloid leukemia factor 1
ZBED4,204799_at,AML-Healthy,0.060423913,-0.09039494,-0.030452887,7.91E-05,"zinc finger, BED-type containing 4"
RRAD,204803_s_at,AML-Healthy,0.063180511,-0.100928774,-0.025432248,0.001044051,Ras-related associated with diabetes
TTK,204822_at,AML-Healthy,-0.155033406,0.108520325,0.201546486,0,TTK protein kinase
CA3,204865_at,AML-Healthy,-0.234987877,0.18254382,0.287431934,0,carbonic anhydrase III
UGCG,204881_s_at,AML-Healthy,-0.128318605,0.084429731,0.172207479,1.00E-08,UDP-glucose ceramide glucosyltransferase
PLK4,204886_at,AML-Healthy,-0.127005662,0.084117662,0.169893663,6.16E-09,polo-like kinase 4
PTGER4,204896_s_at,AML-Healthy,0.085541864,-0.124294639,-0.046789089,1.56E-05,prostaglandin E receptor 4 (subtype EP4)
MNDA,204959_at,AML-Healthy,-0.153757462,0.09714057,0.210374353,1.08E-07,myeloid cell nuclear differentiation antigen
NCF1 ,204961_s_at,AML-Healthy,-0.143147815,0.088803803,0.197491828,2.57E-07,neutrophil cytosolic factor 1 
CENPA,204962_s_at,AML-Healthy,-0.170928273,0.129334197,0.212522349,0,centromere protein A
AMMECR1,204976_s_at,AML-Healthy,-0.164542979,0.12019257,0.208893389,0,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
CDK5R1,204995_at,AML-Healthy,-0.138029588,0.099050576,0.177008599,0,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
DDX3Y,205000_at,AML-Healthy,-0.220987444,0.165726702,0.276248186,0,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, Y-linked"
AHDC1,205002_at,AML-Healthy,0.064215011,-0.089769045,-0.038660978,8.82E-07,"AT hook, DNA binding motif, containing 1"
DEFA1 ,205033_s_at,AML-Healthy,-0.19670309,0.123203925,0.270202255,1.65E-07,"defensin, alpha 1 "
CCNE2,205034_at,AML-Healthy,-0.129299254,0.084286893,0.174311616,1.86E-08,cyclin E2
ORM1,205040_at,AML-Healthy,-0.336303304,0.284314954,0.388291655,0,orosomucoid 1
ORM1 ,205041_s_at,AML-Healthy,-0.465232864,0.389715611,0.540750116,0,orosomucoid 1 
CENPE,205046_at,AML-Healthy,-0.159773356,0.117336828,0.202209884,0,centromere protein E
CRIP1,205081_at,AML-Healthy,0.069922073,-0.112023001,-0.027821145,0.00114139,cysteine-rich protein 1 (intestinal)
CMC4 ,205106_at,AML-Healthy,0.072593542,-0.093452353,-0.051734731,0,C-x(9)-C motif containing 4 
FGF13,205110_s_at,AML-Healthy,-0.235559532,0.174796241,0.296322822,0,fibroblast growth factor 13
NCAN,205143_at,AML-Healthy,0.066829071,-0.08966456,-0.043993582,9.65E-09,neurocan
QPCT,205174_s_at,AML-Healthy,-0.303365012,0.233075154,0.373654869,0,glutaminyl-peptide cyclotransferase
PLS1,205190_at,AML-Healthy,-0.118151213,0.071140396,0.165162031,8.79E-07,plastin 1
MAFF,205193_at,AML-Healthy,0.064407777,-0.100172615,-0.028642939,0.000420526,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
ATP7A,205198_s_at,AML-Healthy,-0.111356159,0.075560232,0.147152086,2.58E-10,"ATPase, Cu++ transporting, alpha polypeptide"
IL1RAP,205227_at,AML-Healthy,0.060809815,-0.089536115,-0.032083514,3.41E-05,interleukin 1 receptor accessory protein
RBMS2,205228_at,AML-Healthy,0.06393362,-0.083995385,-0.043871856,0,"RNA binding motif, single stranded interacting protein 2"
FCN1,205237_at,AML-Healthy,-0.135900817,0.07614632,0.195655313,8.54E-06,ficolin (collagen/fibrinogen domain containing) 1
AMPH,205257_s_at,AML-Healthy,0.060450331,-0.088623381,-0.032277282,2.67E-05,amphiphysin
KCNH2,205262_at,AML-Healthy,-0.163348497,0.122490003,0.204206991,0,"potassium channel, voltage gated eag related subfamily H, member 2"
POU2AF1,205267_at,AML-Healthy,-0.183694193,0.134932424,0.232455962,0,POU class 2 associating factor 1
ADD2,205268_s_at,AML-Healthy,-0.186644302,0.12629495,0.246993654,5.55E-10,adducin 2 (beta)
GAD1,205278_at,AML-Healthy,-0.132870922,0.089152179,0.176589665,1.90E-09,glutamate decarboxylase 1
GLRB,205279_s_at,AML-Healthy,0.063205211,-0.085008008,-0.041402413,1.36E-08,glycine receptor beta
EIF2S3,205321_at,AML-Healthy,0.061419829,-0.095124106,-0.027715553,0.000358674,"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa"
MN1,205330_at,AML-Healthy,0.112148361,-0.178251291,-0.046045432,0.000890473,meningioma (disrupted in balanced translocation) 1
GNA15,205349_at,AML-Healthy,0.074120341,-0.099758078,-0.048482603,1.49E-08,"guanine nucleotide binding protein (G protein), alpha 15 (Gq class)"
ANK1,205389_s_at,AML-Healthy,-0.145556232,0.092516123,0.198596341,7.94E-08,"ankyrin 1, erythrocytic"
IL1R2,205403_at,AML-Healthy,-0.201135977,0.135932283,0.266339672,7.07E-10,"interleukin 1 receptor, type II"
SPA17,205406_s_at,AML-Healthy,-0.128816696,0.089696788,0.167936603,0,sperm autoantigenic protein 17
MFAP3L,205442_at,AML-Healthy,-0.188734093,0.143114997,0.234353189,0,microfibrillar associated protein 3 like
IRF5,205468_s_at,AML-Healthy,0.06328427,-0.087525071,-0.03904347,3.27E-07,interferon regulatory factor 5
GZMA,205488_at,AML-Healthy,-0.128792096,0.074686404,0.182897788,3.19E-06,granzyme A
TCN1,205513_at,AML-Healthy,-0.250621194,0.181811602,0.319430785,0,"transcobalamin I (vitamin B12 binding protein, R binder family)"
CMAHP,205518_s_at,AML-Healthy,0.105032769,-0.149034887,-0.061030652,3.00E-06,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"
CORO2A,205538_at,AML-Healthy,-0.130792489,0.09458159,0.167003388,0,"coronin, actin binding protein, 2A"
BPI,205557_at,AML-Healthy,-0.19192251,0.122839042,0.261005978,5.47E-08,bactericidal/permeability-increasing protein
PCSK5,205559_s_at,AML-Healthy,-0.126273618,0.085553016,0.16699422,4.12E-10,proprotein convertase subtilisin/kexin type 5
AQP9,205568_at,AML-Healthy,-0.137818294,0.078921511,0.196715076,4.67E-06,aquaporin 9
RASGRP1,205590_at,AML-Healthy,-0.15839684,0.102715302,0.214078377,2.58E-08,RAS guanyl releasing protein 1 (calcium and DAG-regulated)
HOXB5,205600_x_at,AML-Healthy,0.124499362,-0.16292271,-0.086076014,0,homeobox B5
ANGPT1,205608_s_at,AML-Healthy,0.149756736,-0.203622122,-0.095891349,5.35E-08,angiopoietin 1
CDA,205627_at,AML-Healthy,-0.215729257,0.160419921,0.271038594,0,cytidine deaminase
PIP5K1B,205632_s_at,AML-Healthy,-0.140907907,0.084943067,0.196872748,8.40E-07,"phosphatidylinositol-4-phosphate 5-kinase, type I, beta"
CTSG,205653_at,AML-Healthy,-0.128644175,0.075238456,0.182049894,2.44E-06,cathepsin G
CYP27B1,205676_at,AML-Healthy,0.073926174,-0.103500703,-0.044351644,1.01E-06,"cytochrome P450, family 27, subfamily B, polypeptide 1"
TPSAB1 ,205683_x_at,AML-Healthy,0.116959927,-0.172716752,-0.061203101,4.02E-05,tryptase alpha/beta 1 
BST1,205715_at,AML-Healthy,-0.163241205,0.117831811,0.2086506,0,bone marrow stromal cell antigen 1
RASGRP3,205801_s_at,AML-Healthy,0.112810016,-0.164727442,-0.06089259,2.11E-05,RAS guanyl releasing protein 3 (calcium and DAG-regulated)
ASPH,205808_at,AML-Healthy,0.068812792,-0.090496424,-0.047129161,0,aspartate beta-hydroxylase
CLGN,205830_at,AML-Healthy,-0.120932059,0.063495767,0.178368351,3.76E-05,calmegin
GYPA,205837_s_at,AML-Healthy,-0.304581377,0.212178133,0.396984621,0,glycophorin A (MNS blood group)
VNN1,205844_at,AML-Healthy,-0.190221553,0.108773789,0.271669318,4.87E-06,vanin 1
SLC14A1,205856_at,AML-Healthy,-0.176436554,0.103625764,0.249247345,2.12E-06,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)"
S100A12,205863_at,AML-Healthy,-0.222138231,0.150103234,0.294173229,7.27E-10,S100 calcium binding protein A12
ITGA4,205884_at,AML-Healthy,0.06457985,-0.106651234,-0.022508467,0.002637333,integrin alpha 4
SLC22A4,205896_at,AML-Healthy,-0.147149726,0.105327534,0.188971919,0,"solute carrier family 22 (organic cation/zwitterion transporter), member 4"
CCNA1,205899_at,AML-Healthy,0.185050143,-0.253707597,-0.116392688,1.35E-07,cyclin A1
POLE2,205909_at,AML-Healthy,-0.111110695,0.076921391,0.145299999,0,"polymerase (DNA directed), epsilon 2, accessory subunit"
CEL,205910_s_at,AML-Healthy,0.091413286,-0.125805981,-0.057020591,2.00E-07,carboxyl ester lipase
VNN2,205922_at,AML-Healthy,-0.150577025,0.100684444,0.200469606,2.72E-09,vanin 2
CTSE,205927_s_at,AML-Healthy,-0.17216977,0.132373015,0.211966525,0,cathepsin E
GPA33,205929_at,AML-Healthy,0.064605922,-0.097532489,-0.031679355,0.000122116,glycoprotein A33 (transmembrane)
HK3,205936_s_at,AML-Healthy,-0.123189968,0.076261929,0.170118008,2.82E-07,hexokinase 3 (white cell)
ACSM3,205942_s_at,AML-Healthy,0.065214667,-0.109348932,-0.021080403,0.003792543,acyl-CoA synthetase medium-chain family member 3
CA1,205950_s_at,AML-Healthy,-0.128360671,0.067573419,0.189147923,3.57E-05,carbonic anhydrase I
PAK2,205962_at,AML-Healthy,0.061558272,-0.089050578,-0.034065966,1.17E-05,p21 protein (Cdc42/Rac)-activated kinase 2
MT3,205970_at,AML-Healthy,0.069058499,-0.095796375,-0.042320623,4.36E-07,metallothionein 3
SOCS6,206020_at,AML-Healthy,0.106634645,-0.15145482,-0.06181447,3.23E-06,suppressor of cytokine signaling 6
